tarih,hisse,sinyal,yon,ufuk,giris,sonuc_tarih,cikis,gercek,isabet
2026-06-29,KONTR,risk_yuksek,-1,5,3.53,,,,
2026-06-29,AKBNK,ma_kesisim,1,5,77.25,,,,
2026-06-29,GARAN,ma_kesisim,-1,5,138.4,,,,
2026-06-29,ISCTR,ma_kesisim,1,5,14.74,,,,
2026-06-29,YKBNK,ma_kesisim,1,5,40.66,,,,
2026-06-29,VAKBN,ma_kesisim,1,5,32.96,,,,
2026-06-29,TSKB,ma_kesisim,-1,5,12.21,,,,
2026-06-29,SAHOL,ma_kesisim,1,5,97.45,,,,
2026-06-29,KCHOL,ma_kesisim,1,5,198.2,,,,
2026-06-29,THYAO,ma_kesisim,1,5,330.75,,,,
2026-06-29,EREGL,ma_kesisim,1,5,42.12,,,,
2026-06-29,KRDMD,ma_kesisim,1,5,40.56,,,,
2026-06-29,SISE,ma_kesisim,1,5,45.32,,,,
2026-06-29,TUPRS,ma_kesisim,1,5,219.2,,,,
2026-06-29,PETKM,ma_kesisim,1,5,19.58,,,,
2026-06-29,FROTO,ma_kesisim,-1,5,86.25,,,,
2026-06-29,TOASO,ma_kesisim,1,5,325.0,,,,
2026-06-29,ARCLK,ma_kesisim,-1,5,104.1,,,,
2026-06-29,BIMAS,ma_kesisim,1,5,374.5,,,,
2026-06-29,MGROS,ma_kesisim,1,5,688.5,,,,
2026-06-29,SOKM,ma_kesisim,-1,5,46.78,,,,
2026-06-29,TCELL,ma_kesisim,1,5,110.9,,,,
2026-06-29,TTKOM,ma_kesisim,1,5,62.25,,,,
2026-06-29,EKGYO,ma_kesisim,-1,5,20.96,,,,
2026-06-29,TAVHL,ma_kesisim,-1,5,284.5,,,,
2026-06-29,PGSUS,ma_kesisim,-1,5,180.1,,,,
2026-06-29,OYAKC,ma_kesisim,-1,5,20.82,,,,
2026-06-29,CIMSA,ma_kesisim,1,5,49.04,,,,
2026-06-29,AKSEN,ma_kesisim,1,5,82.6,,,,
2026-06-29,ENJSA,ma_kesisim,1,5,102.7,,,,
2026-06-29,ZOREN,ma_kesisim,-1,5,2.85,,,,
2026-06-29,GUBRF,ma_kesisim,1,5,479.75,,,,
2026-06-29,HEKTS,ma_kesisim,1,5,3.41,,,,
2026-06-29,SASA,ma_kesisim,1,5,2.52,,,,
2026-06-29,ALARK,ma_kesisim,1,5,105.2,,,,
2026-06-29,DOAS,ma_kesisim,1,5,183.9,,,,
2026-06-29,OTKAR,ma_kesisim,-1,5,366.25,,,,
2026-06-29,TTRAK,ma_kesisim,-1,5,435.25,,,,
2026-06-29,BRSAN,ma_kesisim,1,5,544.0,,,,
2026-06-29,ISDMR,ma_kesisim,1,5,59.35,,,,
2026-06-29,TKFEN,ma_kesisim,1,5,141.7,,,,
2026-06-29,ULKER,ma_kesisim,1,5,102.4,,,,
2026-06-29,CCOLA,ma_kesisim,1,5,81.25,,,,
2026-06-29,AEFES,ma_kesisim,1,5,21.26,,,,
2026-06-29,MAVI,ma_kesisim,1,5,39.88,,,,
2026-06-29,SELEC,ma_kesisim,1,5,198.3,,,,
2026-06-29,DEVA,ma_kesisim,1,5,69.8,,,,
2026-06-29,ECILC,ma_kesisim,-1,5,76.3,,,,
2026-06-29,LOGO,ma_kesisim,-1,5,135.8,,,,
2026-06-29,SMRTG,ma_kesisim,1,5,11.87,,,,
2026-06-29,KONTR,ma_kesisim,-1,5,3.53,,,,
2026-06-29,ODAS,ma_kesisim,1,5,8.4,,,,
2026-06-29,CWENE,ma_kesisim,1,5,36.8,,,,
2026-06-29,EUPWR,ma_kesisim,1,5,78.2,,,,
2026-06-29,AGHOL,ma_kesisim,1,5,33.06,,,,
2026-06-29,BERA,ma_kesisim,-1,5,16.2,,,,
2026-06-29,GESAN,ma_kesisim,1,5,68.65,,,,
2026-06-29,KCAER,ma_kesisim,1,5,15.1,,,,
