tarih,hisse,skor,durum,giris,stop,hedef,ufuk,sonuc_tarih,cikis,sonuc,tuttu
2026-07-01,AEFES,77,KAR_ALMA,20.6253,20.2557,21.0246,10,,,,
2026-07-01,AGHOL,47,BEKLE,32.422,31.72,35.42,10,,,,
2026-07-01,AKBNK,62,BEKLE,71.1268,69.0607,82.0,10,,,,
2026-07-01,AKCNS,45,KAR_ALMA,206.7521,198.2929,225.6196,10,,,,
2026-07-01,AKFGY,88,KAR_ALMA,2.7135,2.655,2.83,10,,,,
2026-07-01,AKSA,58,BEKLE,10.5173,10.0957,12.54,10,,,,
2026-07-01,AKSEN,68,KAR_ALMA,79.5389,77.2036,82.8,10,,,,
2026-07-01,ALARK,42,BEKLE,100.5979,98.0071,109.4,10,,,,
2026-07-01,ALFAS,48,GIRIS_AKTIF,47.7889,46.2771,55.35,10,,,,
2026-07-01,ARCLK,39,BEKLE,97.4789,95.5893,106.1,10,,,,
2026-07-01,ASELS,42,BEKLE,360.4804,346.4821,407.75,10,,,,
2026-07-01,ASTOR,47,BEKLE,268.7839,254.5536,311.5,10,,,,
2026-07-01,BERA,72,BEKLE,15.5184,15.0921,17.07,10,,,,
2026-07-01,BIMAS,88,BEKLE,363.1301,356.5713,380.5181,10,,,,
2026-07-01,BRSAN,77,KAR_ALMA,550.7286,534.5714,568.5,10,,,,
2026-07-01,BRYAT,59,BEKLE,1876.3071,1844.6429,2029.0,10,,,,
2026-07-01,BUCIM,37,BEKLE,5.6153,5.5429,6.05,10,,,,
2026-07-01,CCOLA,42,KAR_ALMA,80.4293,78.7857,82.5,10,,,,
2026-07-01,CIMSA,70,BEKLE,46.0813,45.0729,51.4,10,,,,
2026-07-01,DOAS,98,GIRIS_AKTIF,184.0129,180.0571,190.8857,10,,,,
2026-07-01,DOHOL,81,BEKLE,19.5654,19.1086,21.18,10,,,,
2026-07-01,ECILC,51,BEKLE,72.6629,70.3786,85.15,10,,,,
2026-07-01,EGEEN,45,KAR_ALMA,5655.1429,5567.8571,5847.5,10,,,,
2026-07-01,EKGYO,79,BEKLE,20.486,20.0099,21.6205,10,,,,
2026-07-01,ENJSA,42,BEKLE,100.225,97.95,110.6,10,,,,
2026-07-01,ENKAI,54,BEKLE,91.5179,89.7071,96.15,10,,,,
2026-07-01,EREGL,81,KAR_ALMA,38.831,38.0658,40.7065,10,,,,
2026-07-01,EUPWR,79,ANORMAL,85.1879,79.6071,97.15,10,,,,
2026-07-01,FROTO,78,BEKLE,84.5132,82.9393,87.6,10,,,,
2026-07-01,GARAN,32,KAR_ALMA,137.5636,135.1214,140.4,10,,,,
2026-07-01,GESAN,65,RISK_FILTRE,72.0329,67.5571,75.5,10,,,,
2026-07-01,GUBRF,64,BEKLE,419.3446,398.1964,491.25,10,,,,
2026-07-01,HALKB,65,BEKLE,39.7311,38.3829,47.84,10,,,,
2026-07-01,HEKTS,26,RISK_FILTRE,3.2724,3.1321,3.48,10,,,,
2026-07-01,ISCTR,49,KAR_ALMA,14.512,14.2,15.11,10,,,,
2026-07-01,ISGYO,38,BEKLE,20.7111,19.6229,26.5943,10,,,,
2026-07-01,ISMEN,49,BEKLE,35.8553,35.3557,37.92,10,,,,
2026-07-01,IZMDC,47,BEKLE,7.8862,7.5993,8.87,10,,,,
2026-07-01,KAYSE,31,BEKLE,4.3417,4.2971,4.57,10,,,,
2026-07-01,KCHOL,65,KAR_ALMA,192.6543,188.0857,195.8,10,,,,
2026-07-01,KONTR,42,ANORMAL,2.5226,2.0964,6.83,10,,,,
2026-07-01,KONYA,34,ANORMAL,4165.4107,4076.9643,4330.0,10,,,,
2026-07-01,KORDS,40,BEKLE,63.9761,61.0464,78.5,10,,,,
2026-07-01,KRDMD,88,BEKLE,38.3921,37.3614,41.02,10,,,,
2026-07-01,MAVI,72,BEKLE,37.3843,36.6229,41.1901,10,,,,
